Contractor;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
BOB PT. BUMI SIAK PUSAKO - PERTAMINA HULU;8,514;8,911;8,621;8,633;8,686;8,483;8,436;8,448;8,224;8,180;8,625;8,520
BP BERAU LTD;5,831;5,703;5,322;5,287;4,262;6,090;5,915;5,873;4,812;5,339;5,855;5,748
CAMAR RESOURCES CANADA INC.;9;0;36;311;206;177;0;0;0;0;0;0
CHEVRON MAKASSAR LTD;1,057;1,235;1,229;1,229;1,054;931;886;848;953;861;1,111;1,166
CHEVRON RAPAK LTD.;726;710;708;677;677;660;655;605;578;545;583;562
CITIC SERAM ENERGY LTD;1,517;1,521;1,522;1,543;1,508;1,534;1,484;1,535;1,408;1,344;1,490;1,441
PT PERTAMINA HULU ENERGI OSES;24,003;23,580;24,463;26,057;25,365;24,020;22,708;23,894;23,031;25,014;24,978;24,888
CONOCOPHILLIPS (GRISSIK) LTD.;5,990;5,428;10,330;6,763;3,805;5,642;9,253;8,164;7,322;5,985;6,693;7,588
ENERGI MEGA PERSADA MALACCA STRAIT S.A.;4,533;4,744;4,650;4,470;4,531;4,945;4,687;4,456;4,796;4,882;5,144;5,189
ENERGY EQUITY EPIC (SENGKANG) PTY. LTD.;1;1;1;0;2;0;0;1;1;1;1;1
ENI MUARA BAKAU B.V.;690;1,474;1,533;1,174;1,185;1,206;1,130;1,143;1,127;1,117;1,065;947
HUSKY-CNOOC MADURA LTD.;6,758;6,671;5,940;5,283;6,275;7,122;7,075;6,949;6,838;6,511;6,787;6,909
PT PERTAMINA HULU ENERGI RAJA TEMPIRAI;368;332;317;297;194;192;298;329;327;253;270;285
JOB PERTAMINA - MEDCO TOMORI SULAWESI LTD;7,870;7,718;7,373;7,619;6,602;7,606;7,675;7,772;879;7,319;6,377;7,986
PETROGAS (ISLAND) LTD.;788;771;705;725;720;733;878;833;867;822;810;832
KALREZ PETROLEUM (SERAM) LTD;222;218;210;203;201;211;201;201;189;211;214;213
KANGEAN ENERGI INDONESIA;63;69;78;72;69;61;63;67;65;62;46;57
MINARAK BRANTAS GAS INC.;0;0;0;0;0;0;0;0;0;0;0;0
MANDALA ENERGY LEMANG PTE. LTD.;0;0;0;0;0;0;0;0;0;0;0;0
MEDCO E & P NATUNA;16,479;16,176;15,865;15,158;13,433;12,855;12,471;14,055;12,941;12,489;11,490;11,325
MOBIL CEPU LTD;217,068;213,604;209,117;204,462;200,938;202,002;204,642;207,759;199,684;193,381;191,628;191,034
MONTDOR (SALAWATI) LTD.;30;22;29;22;32;21;32;20;30;19;30;19
MONTDOR OIL TUNGKAL LTD;739;751;666;689;759;719;675;658;630;647;596;496
PEARL OIL (SEBUKU) LTD.;21;36;34;27;31;35;25;27;15;20;19;5
OPHIR INDONESIA (BANGKANAI) LIMITED.;489;463;493;489;478;483;447;478;477;470;471;473
PERTAMINA HULU ENERGI KAMPAR;886;882;805;733;819;912;1,005;933;862;970;985;923
PERTAMINA HULU ENERGI ONWJ LTD;29,470;29,276;29,257;25,292;26,302;26,515;24,234;25,831;27,397;28,040;26,199;27,921
PERTAMINA HULU ENERGI SIAK;1,663;1,647;1,717;1,802;1,739;1,877;1,777;1,670;1,590;1,594;1,536;1,498
PERTAMINA HULU ENERGI WEST MADURA OFFSHORE;2,743;2,660;2,554;2,468;2,416;2,450;2,362;2,408;2,016;1,976;1,968;1,935
PETROCHINA INTERNATIONAL BANGKO LTD;171;202;166;167;146;152;142;129;129;133;135;123
PETROCHINA INTERNATIONAL JABUNG LTD;15,060;14,322;14,857;14,960;15,040;14,930;15,759;15,773;16,263;16,161;16,154;15,892
PETROGAS (BASIN) LTD;4,525;4,578;4,518;4,681;4,562;4,555;4,779;4,457;4,227;4,302;4,335;4,235
PETRONAS CARIGALI (KETAPANG) LTD;8,077;7,543;7,755;7,430;7,488;6,351;7,114;6,855;6,731;6,507;6,313;6,442
